Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;2000;17.7;0.04;1.75;0.23;1.69
Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;1987;22;0;0.27;0;4.5
Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;1999;8.6;0;1.51;0;3.84
Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;2000;20;0.08;0.5;0.1;2.6
Laurent Abergel;FRA;MF;Lorient;Ligue 1;30;1993;12.9;0;0.62;0;4.96
Oliver Abildgaard;DEN;MF;Hellas Verona;Serie A;26;1996;0.1;0;0;0;10
Matthis Abline;FRA;FWMF;Auxerre;Ligue 1;19;2003;2.1;0.11;0;0;1.9
Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;2003;1.2;0.17;1.67;0;2.5
Abner;BRA;DF;Betis;La Liga;22;2000;3;0;0;0.33;4.67
Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;2000;16.7;0.11;0.54;0.18;1.98
Tammy Abraham;ENG;FW;Roma;Serie A;25;1997;17.6;0.13;1.42;0.23;0.91
Francesco Acerbi;ITA;DF;Inter;Serie A;35;1988;12.3;0;0.49;0;2.28
Mohamed Achi;FRA;FW;Nantes;Ligue 1;21;2002;0.4;0;2.5;0;2.5
Marcos Acuña;ARG;DF;Sevilla;La Liga;31;1991;10.9;0.13;1.93;0;4.77
Che Adams;SCO;FW;Southampton;Premier League;26;1996;17.5;0.11;1.2;0.06;1.09
Tyler Adams;USA;MF;Leeds United;Premier League;23;1999;19;0;1.21;0;5.53
Sargis Adamyan;ARM;FWMF;Köln;Bundesliga;29;1993;5.2;0.06;1.35;0;2.31
Tosin Adarabioyo;ENG;DF;Fulham;Premier League;25;1997;12.2;0.25;0.08;0;2.13
Martin Adeline;FRA;MFFW;Reims;Ligue 1;19;2003;1.2;0;0;0;5
Karim Adeyemi;GER;FWMF;Dortmund;Bundesliga;21;2002;8.5;0.11;1.41;0.12;1.88
Amine Adli;FRA;FW;Leverkusen;Bundesliga;22;2000;7.2;0.07;1.39;0.14;1.94
Yacine Adli;FRA;MFFW;Milan;Serie A;22;2000;1.3;0;0.77;0;5.38
Michel Aebischer;SUI;FWMF;Bologna;Serie A;26;1997;8.6;0.1;0.93;0.12;0.81
Felix Afena-Gyan;GHA;FWMF;Cremonese;Serie A;20;2003;4;0;0.25;0;1
Emmanuel Agbadou;CIV;DF;Reims;Ligue 1;25;1997;17.8;0;0.34;0;3.76
Lucien Agoume;FRA;MF;Troyes;Ligue 1;21;2002;3.2;0;0.63;0;6.25
Felix Agu;GER;DFFW;Werder Bremen;Bundesliga;23;1999;0.5;0;2;0;2
Álvaro Aguado;ESP;MF;Valladolid;La Liga;26;1996;12.6;0;1.43;0;1.59
Kevin Agudelo;COL;MFFW;Spezia;Serie A;24;1998;16;0;0.88;0.19;3.38
Nayef Aguerd;MAR;DF;West Ham;Premier League;26;1996;5.7;0;0.18;0;3.33
